steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
63200,"Monday Night Combat",2011-01-24,windows,Action;Strategy;Indie;Sports,720,205,101,3.99
63800,"Delve Deeper",2010-09-24,windows,Adventure;Indie;RPG;Strategy,225,159,241,3.99
63900,"Fantasy Wars",2010-08-06,windows,Strategy,115,28,0,3.99
63910,"King's Bounty: Crossworlds",2010-09-17,windows,RPG;Strategy,492,47,30,11.99
63940,"Men of War: Vietnam",2011-09-08,windows,Strategy,399,247,10,5.59
63960,"Theatre of War 3: Korea",2011-03-24,windows,Strategy,50,76,0,4.99
64000,"Men of War: Assault Squad",2011-02-24,windows,Strategy,2881,416,292,7.19
65070,"Ride 'em Low",2013-11-04,windows,Racing;Simulation,56,55,0,2.09
65270,"Demolition Company Gold Edition",2011-08-04,windows,Simulation,144,27,0,7.19
65400,"Archon Classic",2010-11-02,windows,Strategy;Indie,87,17,16,6.99
65500,"Aura: Fate of the Ages",2010-10-04,windows,Adventure,84,63,0,4.49
65530,"SpellForce 2: Faith in Destiny",2012-06-19,windows,RPG;Strategy,125,85,1244,13.99
65540,"Gothic 1",2001-03-15,windows,Action;RPG,3396,523,409,0
65560,"Painkiller Redemption",2011-02-25,windows,Action,206,196,28,4.49
65600,"Gothic 3: Forsaken Gods Enhanced Edition",2011-03-22,windows,RPG,247,254,1054,8.99
65610,"ArcaniA: Fall of Setarrif",2011-10-24,windows,RPG,119,225,5,13.99
65710,"Pat & Mat",2010-11-05,windows,Casual,297,59,0,3.99
65730,"Take On Helicopters",2011-10-27,windows,Simulation,340,260,2,11.99
65740,"Carrier Command: Gaea Mission",2012-09-28,windows,Action;Strategy,362,442,81,19.99
65780,"ARMA: Gold Edition",2011-07-13,windows,Action;Simulation;Strategy,548,209,22,5.99
65790,"ARMA: Cold War Assault",2011-08-08,windows,Action;Simulation;Strategy,3195,942,28,3.49
70000,"Dino D-Day",2011-04-08,windows,Action;Indie,12222,2367,172,6.99
70200,"Governor of Poker 2",2010-10-11,windows,Adventure;Casual;Simulation,68,22,387,5.79
70210,"Governor of Poker 2 - Premium Edition",2010-10-11,windows,Adventure;Casual;Indie;Simulation,147,29,0,14.99
70400,"Recettear: An Item Shop's Tale",2010-09-10,windows,RPG;Indie,5047,183,764,12.99
70420,"Chantelise - A Tale of Two Sisters",2011-07-29,windows,Action;RPG;Indie,440,148,53,6.49
70600,"Worms Ultimate Mayhem",2011-09-28,windows,Strategy,2188,323,689,10.99
70640,Worms,2011-10-19,windows,Strategy,319,53,2,4.99
70650,"Worms Blast",2011-10-19,windows,Casual;Strategy,102,101,23,5.59
70660,"Worms Pinball",2011-10-19,windows,Casual,140,184,11,5.59
70900,"Star Ruler",2010-09-20,windows,Indie;Strategy,229,44,5,7.19
71000,"Evochron Mercenary",2012-01-16,windows,Action;Indie;Simulation,322,85,0,14.99
71230,"Crazy Taxi",2011-03-04,windows,Action;Racing,1240,273,17,5.59
71240,"SEGA Bass Fishing",2011-03-04,windows,Simulation;Sports,325,62,6,5.59
71260,"Space Channel 5: Part 2",2011-03-04,windows,Action,687,89,0,5.59
71340,"Sonic Generations Collection",2011-11-03,windows,Action,6921,589,165,0
72400,Clones,2010-11-18,windows,Adventure;Indie,245,80,210,0.79
72850,"The Elder Scrolls V: Skyrim",2011-11-10,windows,RPG,237303,14951,7089,9.99
72900,"Winter Voices",2010-10-29,windows,Adventure;Indie;RPG,139,77,0,0
73060,"Defenders of Ardania",2012-03-14,windows,Strategy,32,68,28,8.99
73170,"Darkest Hour: A Hearts of Iron Game",2011-04-08,windows,Strategy,1075,144,0,7.99
73190,"Pride of Nations",2011-06-07,windows,Simulation;Strategy,35,44,0,14.99
73210,Sengoku,2011-09-15,windows,RPG;Simulation;Strategy,205,110,112,7.99
73220,"Supreme Ruler: Cold War",2011-07-29,windows,Strategy,113,62,0,6.99
80000,APOX,2011-01-20,windows,Action;Indie;Strategy,46,113,104,11.99
80300,"Puzzle Bots",2010-10-22,windows,Adventure;Indie,109,38,0,3.49
